prediction_id,model_version,market_date,ticker,primary_benchmark,outcome_as_of_market_date,matured_21,matured_63,matured_84,matured_126,fwd_relative_return_21,fwd_relative_return_63,fwd_relative_return_84,fwd_relative_return_126,fwd_relative_mdd_126,band_median_relative_return,investable_loose,investable_primary,investable_strict
PATH_RISK_V1_2026-08-12|2026-08-11|EWC,PATH_RISK_V1_2026-08-12,2026-08-11,EWC,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWD,PATH_RISK_V1_2026-08-12,2026-08-11,EWD,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWG,PATH_RISK_V1_2026-08-12,2026-08-11,EWG,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWH,PATH_RISK_V1_2026-08-12,2026-08-11,EWH,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWI,PATH_RISK_V1_2026-08-12,2026-08-11,EWI,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWJ,PATH_RISK_V1_2026-08-12,2026-08-11,EWJ,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWL,PATH_RISK_V1_2026-08-12,2026-08-11,EWL,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWM,PATH_RISK_V1_2026-08-12,2026-08-11,EWM,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWN,PATH_RISK_V1_2026-08-12,2026-08-11,EWN,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWO,PATH_RISK_V1_2026-08-12,2026-08-11,EWO,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWP,PATH_RISK_V1_2026-08-12,2026-08-11,EWP,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWQ,PATH_RISK_V1_2026-08-12,2026-08-11,EWQ,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWS,PATH_RISK_V1_2026-08-12,2026-08-11,EWS,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWT,PATH_RISK_V1_2026-08-12,2026-08-11,EWT,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWU,PATH_RISK_V1_2026-08-12,2026-08-11,EWU,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWW,PATH_RISK_V1_2026-08-12,2026-08-11,EWW,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWY,PATH_RISK_V1_2026-08-12,2026-08-11,EWY,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EWZ,PATH_RISK_V1_2026-08-12,2026-08-11,EWZ,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EXI,PATH_RISK_V1_2026-08-12,2026-08-11,EXI,ACWI,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|EZA,PATH_RISK_V1_2026-08-12,2026-08-11,EZA,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|FDN,PATH_RISK_V1_2026-08-12,2026-08-11,FDN,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|FEZ,PATH_RISK_V1_2026-08-12,2026-08-11,FEZ,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|GREK,PATH_RISK_V1_2026-08-12,2026-08-11,GREK,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|IGV,PATH_RISK_V1_2026-08-12,2026-08-11,IGV,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|IHF,PATH_RISK_V1_2026-08-12,2026-08-11,IHF,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|IHI,PATH_RISK_V1_2026-08-12,2026-08-11,IHI,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|ILF,PATH_RISK_V1_2026-08-12,2026-08-11,ILF,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|INDA,PATH_RISK_V1_2026-08-12,2026-08-11,INDA,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|ITA,PATH_RISK_V1_2026-08-12,2026-08-11,ITA,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|IWM,PATH_RISK_V1_2026-08-12,2026-08-11,IWM,ITOT,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|IXC,PATH_RISK_V1_2026-08-12,2026-08-11,IXC,ACWI,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|IXG,PATH_RISK_V1_2026-08-12,2026-08-11,IXG,ACWI,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|IXJ,PATH_RISK_V1_2026-08-12,2026-08-11,IXJ,ACWI,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|IXN,PATH_RISK_V1_2026-08-12,2026-08-11,IXN,ACWI,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|IXP,PATH_RISK_V1_2026-08-12,2026-08-11,IXP,ACWI,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|IYG,PATH_RISK_V1_2026-08-12,2026-08-11,IYG,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|IYT,PATH_RISK_V1_2026-08-12,2026-08-11,IYT,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|IYZ,PATH_RISK_V1_2026-08-12,2026-08-11,IYZ,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|JXI,PATH_RISK_V1_2026-08-12,2026-08-11,JXI,ACWI,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|KBE,PATH_RISK_V1_2026-08-12,2026-08-11,KBE,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|KIE,PATH_RISK_V1_2026-08-12,2026-08-11,KIE,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|KRE,PATH_RISK_V1_2026-08-12,2026-08-11,KRE,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|KSA,PATH_RISK_V1_2026-08-12,2026-08-11,KSA,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|KXI,PATH_RISK_V1_2026-08-12,2026-08-11,KXI,ACWI,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|MCHI,PATH_RISK_V1_2026-08-12,2026-08-11,MCHI,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|MDY,PATH_RISK_V1_2026-08-12,2026-08-11,MDY,ITOT,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|MXI,PATH_RISK_V1_2026-08-12,2026-08-11,MXI,ACWI,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|OIH,PATH_RISK_V1_2026-08-12,2026-08-11,OIH,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|PAVE,PATH_RISK_V1_2026-08-12,2026-08-11,PAVE,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|PBJ,PATH_RISK_V1_2026-08-12,2026-08-11,PBJ,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|PEJ,PATH_RISK_V1_2026-08-12,2026-08-11,PEJ,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|QAT,PATH_RISK_V1_2026-08-12,2026-08-11,QAT,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|QQQ,PATH_RISK_V1_2026-08-12,2026-08-11,QQQ,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|REM,PATH_RISK_V1_2026-08-12,2026-08-11,REM,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|REZ,PATH_RISK_V1_2026-08-12,2026-08-11,REZ,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|RXI,PATH_RISK_V1_2026-08-12,2026-08-11,RXI,ACWI,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|SCZ,PATH_RISK_V1_2026-08-12,2026-08-11,SCZ,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|SKYY,PATH_RISK_V1_2026-08-12,2026-08-11,SKYY,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|SMH,PATH_RISK_V1_2026-08-12,2026-08-11,SMH,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|THD,PATH_RISK_V1_2026-08-12,2026-08-11,THD,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|TUR,PATH_RISK_V1_2026-08-12,2026-08-11,TUR,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|UAE,PATH_RISK_V1_2026-08-12,2026-08-11,UAE,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|VEA,PATH_RISK_V1_2026-08-12,2026-08-11,VEA,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|VGK,PATH_RISK_V1_2026-08-12,2026-08-11,VGK,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|VNM,PATH_RISK_V1_2026-08-12,2026-08-11,VNM,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|VNQ,PATH_RISK_V1_2026-08-12,2026-08-11,VNQ,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|VPL,PATH_RISK_V1_2026-08-12,2026-08-11,VPL,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|VSS,PATH_RISK_V1_2026-08-12,2026-08-11,VSS,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|VWO,PATH_RISK_V1_2026-08-12,2026-08-11,VWO,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XBI,PATH_RISK_V1_2026-08-12,2026-08-11,XBI,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XHB,PATH_RISK_V1_2026-08-12,2026-08-11,XHB,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XLB,PATH_RISK_V1_2026-08-12,2026-08-11,XLB,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XLC,PATH_RISK_V1_2026-08-12,2026-08-11,XLC,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XLE,PATH_RISK_V1_2026-08-12,2026-08-11,XLE,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XLF,PATH_RISK_V1_2026-08-12,2026-08-11,XLF,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XLI,PATH_RISK_V1_2026-08-12,2026-08-11,XLI,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XLK,PATH_RISK_V1_2026-08-12,2026-08-11,XLK,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XLP,PATH_RISK_V1_2026-08-12,2026-08-11,XLP,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XLRE,PATH_RISK_V1_2026-08-12,2026-08-11,XLRE,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XLU,PATH_RISK_V1_2026-08-12,2026-08-11,XLU,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XLV,PATH_RISK_V1_2026-08-12,2026-08-11,XLV,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XLY,PATH_RISK_V1_2026-08-12,2026-08-11,XLY,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XME,PATH_RISK_V1_2026-08-12,2026-08-11,XME,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XOP,PATH_RISK_V1_2026-08-12,2026-08-11,XOP,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XPH,PATH_RISK_V1_2026-08-12,2026-08-11,XPH,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-11|XRT,PATH_RISK_V1_2026-08-12,2026-08-11,XRT,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|AAXJ,PATH_RISK_V1_2026-08-12,2026-08-12,AAXJ,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|AFK,PATH_RISK_V1_2026-08-12,2026-08-12,AFK,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|ARGT,PATH_RISK_V1_2026-08-12,2026-08-12,ARGT,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|ASEA,PATH_RISK_V1_2026-08-12,2026-08-12,ASEA,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|CIBR,PATH_RISK_V1_2026-08-12,2026-08-12,CIBR,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|ECH,PATH_RISK_V1_2026-08-12,2026-08-12,ECH,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EDEN,PATH_RISK_V1_2026-08-12,2026-08-12,EDEN,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EEM,PATH_RISK_V1_2026-08-12,2026-08-12,EEM,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EFA,PATH_RISK_V1_2026-08-12,2026-08-12,EFA,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EFNL,PATH_RISK_V1_2026-08-12,2026-08-12,EFNL,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EIDO,PATH_RISK_V1_2026-08-12,2026-08-12,EIDO,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EIRL,PATH_RISK_V1_2026-08-12,2026-08-12,EIRL,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EIS,PATH_RISK_V1_2026-08-12,2026-08-12,EIS,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EMXC,PATH_RISK_V1_2026-08-12,2026-08-12,EMXC,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|ENOR,PATH_RISK_V1_2026-08-12,2026-08-12,ENOR,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|ENZL,PATH_RISK_V1_2026-08-12,2026-08-12,ENZL,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EPHE,PATH_RISK_V1_2026-08-12,2026-08-12,EPHE,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EPOL,PATH_RISK_V1_2026-08-12,2026-08-12,EPOL,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EPP,PATH_RISK_V1_2026-08-12,2026-08-12,EPP,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EPU,PATH_RISK_V1_2026-08-12,2026-08-12,EPU,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWA,PATH_RISK_V1_2026-08-12,2026-08-12,EWA,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWC,PATH_RISK_V1_2026-08-12,2026-08-12,EWC,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWD,PATH_RISK_V1_2026-08-12,2026-08-12,EWD,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWG,PATH_RISK_V1_2026-08-12,2026-08-12,EWG,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWH,PATH_RISK_V1_2026-08-12,2026-08-12,EWH,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWI,PATH_RISK_V1_2026-08-12,2026-08-12,EWI,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWJ,PATH_RISK_V1_2026-08-12,2026-08-12,EWJ,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWL,PATH_RISK_V1_2026-08-12,2026-08-12,EWL,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWM,PATH_RISK_V1_2026-08-12,2026-08-12,EWM,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWN,PATH_RISK_V1_2026-08-12,2026-08-12,EWN,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWO,PATH_RISK_V1_2026-08-12,2026-08-12,EWO,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWP,PATH_RISK_V1_2026-08-12,2026-08-12,EWP,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWQ,PATH_RISK_V1_2026-08-12,2026-08-12,EWQ,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWS,PATH_RISK_V1_2026-08-12,2026-08-12,EWS,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWT,PATH_RISK_V1_2026-08-12,2026-08-12,EWT,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWU,PATH_RISK_V1_2026-08-12,2026-08-12,EWU,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWW,PATH_RISK_V1_2026-08-12,2026-08-12,EWW,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWY,PATH_RISK_V1_2026-08-12,2026-08-12,EWY,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EWZ,PATH_RISK_V1_2026-08-12,2026-08-12,EWZ,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EXI,PATH_RISK_V1_2026-08-12,2026-08-12,EXI,ACWI,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|EZA,PATH_RISK_V1_2026-08-12,2026-08-12,EZA,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|FDN,PATH_RISK_V1_2026-08-12,2026-08-12,FDN,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|FEZ,PATH_RISK_V1_2026-08-12,2026-08-12,FEZ,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|GREK,PATH_RISK_V1_2026-08-12,2026-08-12,GREK,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|IGV,PATH_RISK_V1_2026-08-12,2026-08-12,IGV,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|IHF,PATH_RISK_V1_2026-08-12,2026-08-12,IHF,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|IHI,PATH_RISK_V1_2026-08-12,2026-08-12,IHI,SPY,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|ILF,PATH_RISK_V1_2026-08-12,2026-08-12,ILF,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|INDA,PATH_RISK_V1_2026-08-12,2026-08-12,INDA,ACWX,2026-08-14,False,False,False,False,,,,,,,,,
PATH_RISK_V1_2026-08-12|2026-08-12|ITA,PATH_RISK_V1_2026-08-12,2026-08-12,ITA,SPY,2026-08-14,False,False,False,False,,,,,,,,,
